tweet_id,cleaned_text,airline_sentiment
570306133677760513,virginamerica dhepburn said,neutral
570301130888122368,virginamerica plus youve added commercial experience tacky,positive
570301083672813571,virginamerica didnt today must mean need take another trip,neutral
570301031407624196,virginamerica really aggressive blast obnoxious entertainment guest face amp little recourse,negative
570300817074462722,virginamerica really big bad thing,negative
570300767074181121,virginamerica seriously would pay flight seat didnt playing really bad thing flying va,negative
570300616901320704,virginamerica yes nearly every time fly vx ear worm wont go away,positive
570300248553349120,virginamerica really missed prime opportunity men without hat parody,neutral
570299953286942721,virginamerica well didntbut,positive
570295459631263746,virginamerica amazing arrived hour early youre good,positive
570294189143031808,virginamerica know suicide second leading cause death among teen,neutral
570289724453216256,virginamerica lt pretty graphic much better minimal iconography,positive
570289584061480960,virginamerica great deal already thinking nd trip australia amp havent even gone st trip yet p,positive
570287408438120448,virginamerica virginmedia im flying fabulous seductive sky u take stress away travel,positive
570285904809598977,virginamerica thanks,positive
570282469121007616,virginamerica sfopdx schedule still mia,negative
570277724385734656,virginamerica excited first cross country flight lax mco ive heard nothing great thing virgin america daystogo,positive
570276917301137409,virginamerica flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help,negative
570270684619923457,flying virginamerica,positive
570267956648792064,virginamerica know would amazingly awesome bosfll please want fly,positive
570265883513384960,virginamerica first fare may three time carrier seat available select,negative
570264145116819457,virginamerica love graphic,positive
570259420287868928,virginamerica love hipster innovation feel good brand,positive
570258822297579520,virginamerica making bosgtlas non stop permanently anytime soon,neutral
570256553502068736,virginamerica guy messed seating reserved seating friend guy gave seat away want free internet,negative
570249102404923392,virginamerica status match program applied three week called emailed response,negative
570239632807370753,virginamerica happened ur vegan food option least say ur site know wont able eat anything next hr fail,negative
570217831557677057,virginamerica miss dont worry well together soon,neutral
570207886493782019,virginamerica amazing cant get cold air vent vx noair worstflightever roasted sfotobos,negative
570124596180955136,virginamerica lax ewr middle seat red eye noob maneuver sendambien andchexmix,neutral
570114021854212096,virginamerica hi bked cool birthday trip cant add elevate cause entered middle name flight booking problem,negative
570094701371469825,virginamerica hour operation club sfo posted online current,neutral
570088404156698625,virginamerica help left expensive headphone flight iad lax today seat one answering lampf number lax,negative
570084582780899328,virginamerica awaiting return phone call would prefer use online selfservice option,negative
570076792993611776,virginamerica great news america could start flight hawaii end year via pacificbiznews,positive
570051991277342720,nice rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience,neutral
570051381534396416,virginamerica moodlighting way fly best experience ever cool calming moodlitmonday,positive
570045393565691904,virginamerica freddieawards done done best airline around hand,positive
570038941497192448,virginamerica book flight hawaii,neutral
570035876845084672,virginamerica chat support working site,negative
570033593394667521,virginamerica view downtown los angeles hollywood sign beyond rain mountain,positive
570025482344898560,virginamerica hey first time flyer next week excited im hard time getting flight added elevate account help,negative
570016304284901379,virginamerica plz help win bid upgrade flight laxgtsea,neutral
570015408788414464,virginamerica unused ticket moved new city dont fly fly expires travelhelp,neutral
570013523650048002,virginamerica flight leaving dallas seattle time feb,neutral
570012257549070337,virginamerica im elevategold good reason rock,positive
570011341483843584,virginamerica dream,neutral
570010571707256832,virginamerica wow blew mind,positive
570010539499393025,virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscar ladygaga think carrieunderwood agree,neutral
570009713447825408,virginamerica ladygaga carrieunderwood entertaining,neutral
570009035455344640,virginamerica flight way supposed take minute ago website still show time flight thanks,neutral
570006886012973056,virginamerica ladygaga carrieunderwood julie andrew way though ladygaga impressive carrieunderwood,positive
570004391731847169,virginamerica wish flew atlanta soon,neutral
570001194900426752,virginamerica ladygaga carrieunderwood julie andrew hand,neutral
570000071644872704,virginamerica flight leaving dallas la february th,neutral
569996412286582784,virginamerica hi im excited lgagtdal deal ive trying book since last week amp page never load thx,negative
569996245462159361,virginamerica know need spotify stat guiltypleasures,positive
569990222609412097,virginamerica ladygaga carrieunderwood im lady gaga amazing,positive
569990163209850881,virginamerica ladygaga carrieunderwood carrie,neutral
569989504431316993,virginamerica new marketing song let u know think,neutral
569989321698074624,virginamerica ladygaga carrieunderwood julie andrew first lady gaga wowd last night carrie meh,neutral
569989034501500928,virginamerica called week ago adding flight elevatethey still havent shown uphelp,negative
569987622484848640,virginamerica ladygaga carrieunderwood great go carrieunderwood,neutral
569986782567071744,virginamerica ladygaga carrieunderwood sorry mary martin first,neutral
569986348041547778,virginamerica ladygaga carrieunderwood love three really cant beat classic,positive
569982307634794497,virginamerica flight dal dca pm tried check could status please,neutral
569976620158578688,virginamerica heyyyy guyyyys trying get hour someone call please,negative
569973821396152323,virginamerica hi virgin im hold minute earlier flight la nyc tonight earlier pm,negative
569972508499283968,virginamerica congrats winning travelzoo award best deal airline u,positive
569967019958730753,virginamerica everything fine lost bag,negative
569961866224652288,virginamerica need change reservation virgin credit card need modify phone waive change fee online,neutral
569949891163615232,virginamerica emailed customer service team let know need tracking number,neutral
569948966873370625,virginamerica hi booked flight need add baggage,neutral
569946362126602240,virginamerica airline awesome lax loft need step game dirty table floor,negative
569942903683813376,virginamerica worried great ride new plane great crew airline like,positive
569941957490774016,virginamerica awesome flew yall sat morning way correct bill,positive
569940834994401280,virginamerica watch best student film country foot cmfatfeet,neutral
569940323746516993,virginamerica first time flying different ratepolicy medium bag thanks,neutral
569935232033366017,virginamerica going customer service anyway speak human asap thank,negative
569934395865493504,virginamerica happened doom,neutral
569933816963342337,virginamerica cant supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness,negative
569933777931145216,virginamerica ive applied member inflight crew teamim interested flightattendant dreampath g,positive
569933405506310144,virginamerica youre best whenever begrudgingly use airline im delayed late flight,negative
569933360564342784,virginamerica interesting flying cancelled flight next four flight plannedneverflyvirginforbusiness,negative
569929243146088448,virginamerica disappointing experience shared every business traveler meet neverflyvirgin,negative
569926998824394752,virginamerica im trouble adding flight wife booked elevate account help,negative
569923394990419968,virginamerica cant bring reservation online using flight booking problem code,neutral
569922008588222465,virginamerica random q whats distribution elevate avatar bet kitty disproportionate share,neutral
569920824905306113,virginamerica lt flying va life happens trying change trip jperhi helpva home page let,neutral
569919041244147712,virginamerica site back,negative
569915941192015872,virginamerica rnp yeah know,neutral
569913339427434496,virginamerica hi get point elevate account recent flight add flight point account,neutral
569911816937033728,virginamerica like tv interesting video disappointed cancelled flightled flight flight went jfk saturday,negative
569911674158731264,virginamerica landed lax hour late flight bag check business travel friendly nomorevirgin,negative
569911218942517248,virginamerica flight redirected,neutral
569910981868060673,virginamerica website btw new website isnt great user experience time another redesign,negative
569909224521641984,virginamerica cant check add bag website isnt working ive tried desktop mobile,negative
569907336485019648,virginamerica let scanned passenger leave plane told someone remove bag st class bin uncomfortable,negative
569896805611089920,virginamerica phone number cant find call flight reservation,negative
569894449620369408,virginamerica anyone anything today website useless one answering phone,negative
569894407001939968,virginamerica trying add boy prince ressie sf thursday virginamerica lax,neutral
569892199690678272,virginamerica must traveler miss flight late flight check bag missed morning appointment lost business sfolax,negative
569891469210755074,virginamerica check new music,neutral
569891436100874241,virginamerica hows direct flight fllgtsfo unexpected layover vega fuel yet peep next bought vega flight sneaky,negative
569887310713479168,virginamerica late flight bag check lost business missed flight apt three people flight exp,negative
569887049446076416,virginamerica amazing customer service raeann sf shes best customerservice virginamerica flying,positive
569884551712886785,virginamerica called service line hung awesome sarcasm,negative
569884407852437504,virginamerica site tripping im trying check im getting plain text version reluctant enter card info,negative
569881548515708928,virginamerica scheduled sfo dal flight today changed th due weather look like flight still,neutral
569873669700358144,virginamerica getaway deal may oneway lot cool city cheapflights farecompare,positive
569873668131717120,virginamerica getaway deal may oneway lot cool city cheapflights farecompare,neutral
569873665640292353,virginamerica getaway deal may oneway lot cool city cheapflights farecompare,positive
569873664612704256,virginamerica getaway deal may oneway lot cool city cheapflights farecompare,neutral
569872058613673984,virginamerica great week,positive
569861209781989377,virginamerica come back phl already need take u horrible cold pleasecomeback,positive
569847920192655361,virginamerica concerned fly plane need delayed due tech stop,negative
569814339785338880,virginamerica best airline flown oneasy change reservationhelpful representative amp comfortable flying experience,positive
569777607371128834,virginamerica another rep kicked butt naelah represents team beautifully thank,positive
569774078233419776,virginamerica beautiful frontend design right cool still book ticket bc backend secure,positive
569770363623575552,virginamerica love team running gate e la tonight waited delayed flight kept thing entertaining,positive
569748316776325120,virginamerica use another browser amp brand reputation built tech response doesnt crossbrowser compatible website,negative
569741221783957504,virginamerica flight flight booking problem site totally folk problem,negative
569737603617943552,virginamerica like customer service min delay connecting passenger seems long va,negative
569714127792254976,virginamerica thanks outstanding nycjfk crew moved mountain get home san francisco tonight,positive
569675144353828864,virginamerica absolute best team customer service ever every time fly im delighted thank,positive
569674358135914496,virginamerica provide complimentary upgrade first class available seat,neutral
569666477265018881,virginamerica need change flight thats scheduled hour min wait time phone im calling intern help,negative
569652497947734017,virginamerica completely awesome experience last month boslas nonstop thanks awesome flight depart time vabeatsjblue,positive
569649116487290880,virginamerica watch oscar jfkgtsfo flight,neutral
569643262459269120,virginamerica flight cancelled flightled,neutral
569642845516275712,virginamerica failing customer check process link tsa precheck,negative
569634318349246464,virginamerica fidifamilies u terrible airline gave u hotel hotline number said sorry,negative
569633630978310145,virginamerica flight number sfo cabo san lucas arrived yet,neutral
569633279546036224,virginamerica chrysichrysic assistance yesterday u cancelled flightled flight give u hotel hotline shame,negative
569630092273410048,virginamerica another delayed flight likingyoulessandless,negative
569627480425766912,virginamerica need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,negative
569625739231948800,virginamerica rock making watch oscar flight redcarpet oscar oscar,positive
569625609799774208,virginamerica reallytallchris dropped track,neutral
569620102389350401,virginamerica always xoxo,positive
569619569372823552,virginamerica cant book seat flight buy even check creates much anxiety frustrated,negative
569618527948115968,virginamerica youd think paying extra buck rt luggage might afford hiring extra hand sfo lame,negative
569616490380439552,virginamerica best customer service rep world irmafromdallas take cake,positive
569615109363929088,virginamerica find u flt lax sooner midnight monday would great customer service,neutral
569614365755899905,virginamerica please provide status flight cant imagine time web indicates dude weather andor dallas,negative
569614024578600960,virginamerica amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort,positive
569609971383586817,virginamerica paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,negative
569608328998887424,virginamerica question possible book seat infant giving option want seat,negative
569599867716132864,always together youre welcome rt virginamerica jessicajaymes youre welcome,positive
569596445680115712,virginamerica flight home dc sunset globe backtowinter back work refreshed,positive
569596097540132864,virginamerica dont understand need dm give answer damaged luggage policy,negative
569594386066984960,virginamerica mean dont policy destroyed luggage,negative
569586660909973504,virginamerica special assistance travel alone w kid infant priority boarding,neutral
569580805036453888,virginamerica thank checking ticket purchased customer happy,positive
569575679722786816,virginamerica website ever coming back online,neutral
569575003248676864,virginamerica flight love field sfo definitely cancelled flightled monday february,neutral
569574973662232576,virginamerica flight lga dfw time,neutral
569574961158815745,virginamerica driver license expired little month fly friday morning using expired license,neutral
569572942381649920,virginamerica problem flight booking problem web site keep giving error contact phone phone minute wait,negative
569572740723712001,virginamerica reschedule cancelled flightled flight online change button greyed,negative
569566981835218944,virginamerica rang wait minute book ticket vendor fix site,negative
569564853460807680,virginamerica got flight told todaychecked email tomorrow unacceptable,negative
569564610837086209,virginamerica flight lga cancelled flighted stuck dallas called reschedule told could get flight today,negative
569562202405019650,virginamerica dont pairing include red wine white offered redwineisbetter,negative
569541127340040192,virginamerica website,negative
569540405676654592,virginamerica site seems little wonked right may want look tried two browser cs,negative
569494748341407744,virginamerica im disappointed agent designated silver status check line dullesairport closed assist pasengers,negative
569482263345307648,virginamerica plan include austin dallas route topnews arab emirate,neutral
569477692166316033,virginamerica normal receive reply central baggage baggageissues smh,negative
569461469042966528,virginamerica logan airport waiting checkin flight checkin desk open,negative
569459618881019905,virginamerica jump dallasaustin market dallasnews,neutral
569452063920226304,virginamerica beat eps view take southwestair va luv investor business daily,neutral
569447071910105089,virginamerica lister show monday,neutral
569429411646156800,virginamerica begin dallasaustin flight april ketr,neutral
569369239183872000,virginamerica congrats got business ewr sfolax fuck united fl sfoewr clincher,negative
569368160291463168,virginamerica applied week ago havent heard back im flying week disappointed,negative
